id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	B|B	B|Ery	B|Gran	B|HSPC	B|Mono	B|NK	B|T	Ery|B	Ery|Ery	Ery|Gran	Ery|HSPC	Ery|Mono	Ery|NK	Ery|T	Gran|B	Gran|Ery	Gran|Gran	Gran|HSPC	Gran|Mono	Gran|NK	Gran|T	HSPC|B	HSPC|Ery	HSPC|Gran	HSPC|HSPC	HSPC|Mono	HSPC|NK	HSPC|T	Mono|B	Mono|Ery	Mono|Gran	Mono|HSPC	Mono|Mono	Mono|NK	Mono|T	NK|B	NK|Ery	NK|Gran	NK|HSPC	NK|Mono	NK|NK	NK|T	T|B	T|Ery	T|Gran	T|HSPC	T|Mono	T|NK	T|T
CPI-SS0E1F6117E	FGFRL1_FGF22	simple:Q8N441	simple:Q9HCT0	FGFRL1	FGF22	False	False	False	user_curated	False	1.755																																																	
CPI-SS09EB0F005	KIT_CD9	simple:P10721	simple:P21926	KIT	CD9	False	False	False	user_curated	False	1.755																																																	
CPI-SS0FECCB230	SRC_EFNB1	simple:P12931	simple:P98172	SRC	EFNB1	False	False	False	user_curated	False	1.755																																																	
CPI-SS0B8D82011	TNFRSF21_MPIG6B	simple:O75509	simple:O95866	TNFRSF21	MPIG6B	False	False	False	user_curated	False	1.755																																																	
CPI-SS04E6CE624	ERBB2_EPOR	simple:P04626	simple:P19235	ERBB2	EPOR	False	False	False	user_curated	False	1.755																																																	
CPI-SS0B9860AD7	INHBA_ACVR2A	simple:P08476	simple:P27037	INHBA	ACVR2A	False	False	False	user_curated	False	1.755																																																	
CPI-SS0658E984B	BMP2_ACVR2A	simple:P12643	simple:P27037	BMP2	ACVR2A	False	False	False	user_curated	False	1.755																																																	
CPI-SS0440D43EC	NEO1_RGMA	simple:Q92859	simple:Q96B86	NEO1	RGMA	False	False	False	user_curated	False	1.755																																																	
CPI-SS07172208F	CBL_PIK3R1	simple:P22681	simple:P27986	CBL	PIK3R1	False	False	False	user_curated	False	1.755																																																	
CPI-SS01B8068AD	COL4A5_CD47	simple:P29400	simple:Q08722	COL4A5	CD47	False	False	False	user_curated	False	1.755																																																	
CPI-SS06497DA7F	ERBB2_CDC37	simple:P04626	simple:Q16543	ERBB2	CDC37	False	False	False	user_curated	False	1.755																																																	
CPI-SS02CC5B302	HFE_RGMA	simple:Q30201	simple:Q96B86	HFE	RGMA	False	False	False	user_curated	False	1.755																																																	
CPI-SS0EE254B62	BMPR2_RGMA	simple:Q13873	simple:Q96B86	BMPR2	RGMA	False	False	False	user_curated	False	1.755																																																	
CPI-SS02B9931E3	EPOR_PIK3R1	simple:P19235	simple:P27986	EPOR	PIK3R1	False	False	False	user_curated	False	1.755																																																	
CPI-SS001EE6479	ERBB2_DYM	simple:P04626	simple:Q7RTS9	ERBB2	DYM	False	False	False	user_curated	False	1.755																																																	
CPI-SS083046473	BMP2_RGMB	simple:P12643	simple:Q6NW40	BMP2	RGMB	False	False	False	user_curated	False	1.755																																																	
CPI-SS0AEE062A7	ERBB2_DNAJA3	simple:P04626	simple:Q96EY1	ERBB2	DNAJA3	False	False	False	user_curated	False	1.755																																																	
CPI-SS0D1F9D67C	ACVR1_AMHR2	simple:Q04771	simple:Q16671	ACVR1	AMHR2	False	False	False	user_curated	False	1.755																																																	
CPI-SS008D74137	ERBB2_STUB1	simple:P04626	simple:Q9UNE7	ERBB2	STUB1	False	False	False	user_curated	False	1.755																																																	
CPI-SS02107DDE1	WNT10B_FZD6	simple:O00744	simple:O60353	WNT10B	FZD6	False	False	False	user_curated	False	1.755																																																	
CPI-SS04F4213BF	WNT10B_LRP5	simple:O00744	simple:O75197	WNT10B	LRP5	False	False	False	user_curated	False	1.755																																																	
CPI-SS09F1389CF	BMP6_AMHR2	simple:P22004	simple:Q16671	BMP6	AMHR2	False	False	False	user_curated	False	1.755																																																	
CPI-SS05776FBE7	ACVR2A_BMP8B	simple:P27037	simple:P34820	ACVR2A	BMP8B	False	False	False	user_curated	False	1.755																																																	
CPI-SS02EFD9EBA	BMPR2_RGMB	simple:Q13873	simple:Q6NW40	BMPR2	RGMB	False	False	False	user_curated	False	1.755																																																	
CPI-SS0C80FA89F	ERBB2_PIK3R1	simple:P04626	simple:P27986	ERBB2	PIK3R1	False	False	False	user_curated	False	1.755																																																	
CPI-SS0639E775C	ERBB2_PEPD	simple:P04626	simple:P12955	ERBB2	PEPD	False	False	False	user_curated	False	1.755																																																	
CPI-SS028CEA285	GDF11_ACVR2A	simple:O95390	simple:P27037	GDF11	ACVR2A	False	False	False	user_curated	False	1.755																																																	
CPI-SS06CA2C173	KIT_EPOR	simple:P10721	simple:P19235	KIT	EPOR	False	False	False	user_curated	False	1.755																																																	
CPI-SS0D3CC3071	JAK2_EPOR	simple:O60674	simple:P19235	JAK2	EPOR	False	False	False	user_curated	False	1.755																																																	
CPI-SS0BCE672F6	TRPM2_TNF	simple:O94759	simple:P01375	TRPM2	TNF	False	False	False	user_curated	False	1.755																																																	
CPI-SS069565047	SOCS2_EPOR	simple:O14508	simple:P19235	SOCS2	EPOR	False	False	False	user_curated	False	1.755																																																	
CPI-SS072E1E27A	FFAR2_TNF	simple:O15552	simple:P01375	FFAR2	TNF	False	False	False	user_curated	False	1.755																																																	
CPI-SS093FFDD32	TNFRSF21_TNF	simple:O75509	simple:P01375	TNFRSF21	TNF	False	False	False	user_curated	False	1.755																																																	
CPI-SS01F75476A	MPIG6B_ROBO1	simple:O95866	simple:Q9Y6N7	MPIG6B	ROBO1	False	False	False	user_curated	False	1.755																																																	
CPI-SS0E012231E	NCAM1_ROBO1	simple:P13591	simple:Q9Y6N7	NCAM1	ROBO1	False	False	False	user_curated	False	1.755																																																	
CPI-SS0B838F261	LYN_EPOR	simple:P07948	simple:P19235	LYN	EPOR	False	False	False	user_curated	False	1.755																																																	
CPI-SS0DD2FA1A1	ERBB2_HSP90B1	simple:P04626	simple:P14625	ERBB2	HSP90B1	False	False	False	user_curated	False	1.755																																																	
CPI-SS0766B48E3	ACVR2A_ACVR1B	simple:P27037	simple:P36896	ACVR2A	ACVR1B	False	False	False	user_curated	False	1.755																																																	
CPI-SS087D64803	GDF11_ACVR1B	simple:O95390	simple:P36896	GDF11	ACVR1B	False	False	False	user_curated	False	1.755																																																	
CPI-SS09A34F08B	TLR4_HSP90B1	simple:O00206	simple:P14625	TLR4	HSP90B1	False	False	False	user_curated	False	1.755																																																	
CPI-SS002DB66DB	INHBA_ACVR1B	simple:P08476	simple:P36896	INHBA	ACVR1B	False	False	False	user_curated	False	1.755																																																	
CPI-SS02ECC13B8	TLR2_HSP90B1	simple:O60603	simple:P14625	TLR2	HSP90B1	False	False	False	user_curated	False	1.755																																																	
CPI-SS0F47879C1	ASGR1_HSP90B1	simple:P07306	simple:P14625	ASGR1	HSP90B1	False	False	False	user_curated	False	1.755																																																	
CPI-SS0B299A905	BMP6_ACVR2A	simple:P22004	simple:P27037	BMP6	ACVR2A	False	False	False	user_curated	False	1.755																																																	
CPI-SS060706428	ERBB2_HSP90AB1	simple:P04626	simple:P08238	ERBB2	HSP90AB1	False	False	False	user_curated	False	1.755																																																	
CPI-SS0E2E752A2	ERBB2_SRC	simple:P04626	simple:P12931	ERBB2	SRC	False	False	False	user_curated	False	1.755																																																	
CPI-SS0D30A37B0	BMPR2_BMP8A	simple:Q13873	simple:Q7Z5Y6	BMPR2	BMP8A	False	False	False	user_curated	False	1.755																																																	
CPI-SS082A5162B	ERBB2_ETV5	simple:P04626	simple:P41161	ERBB2	ETV5	False	False	False	user_curated	False	1.755																																																	
CPI-SS0B43CF7D7	ITGB1_MDK	simple:P05556	simple:P21741	ITGB1	MDK	False	False	False	user_curated	False	1.755																																																	
CPI-SS01C13A403	COL4A3_CD47	simple:Q01955	simple:Q08722	COL4A3	CD47	False	False	False	user_curated	False	1.755																																																	
CPI-SS029A42A0C	COL1A1_VWF	simple:P02452	simple:P04275	COL1A1	VWF	False	False	False	user_curated	False	1.755																																																	
CPI-SS0485DB044	HLA-C_CD8B	simple:P10321	simple:P10966	HLA-C	CD8B	False	False	False	user_curated	False	1.755																																																	
CPI-SS077538309	TFRC_LTF	simple:P02786	simple:P02788	TFRC	LTF	False	False	False	user_curated	False	1.755																																																	
CPI-SS0E16B4F70	BTN3A3_LTF	simple:O00478	simple:P02788	BTN3A3	LTF	False	False	False	user_curated	False	1.755																																																	
CPI-SS0DCA69916	TNFRSF13B_TNFSF13	simple:O14836	simple:O75888	TNFRSF13B	TNFSF13	False	False	False	user_curated	False	1.755																																																	
CPI-SS0179FBFD3	TNFRSF10A_TNFSF10	simple:O00220	simple:P50591	TNFRSF10A	TNFSF10	False	False	False	user_curated	False	1.755																																																	
CPI-SS0898D7F7F	TNFRSF10B_TNFSF10	simple:O14763	simple:P50591	TNFRSF10B	TNFSF10	False	False	False	user_curated	False	1.755																																																	
CPI-SS01ECFDA18	TNFRSF10C_TNFSF10	simple:O14798	simple:P50591	TNFRSF10C	TNFSF10	False	False	False	user_curated	False	1.755																																																	
CPI-SS082A7EC36	HLA-E_KIR3DL1	simple:P13747	simple:P43629	HLA-E	KIR3DL1	False	False	False	user_curated	False	1.755																																																	
CPI-SS008F77E67	ADRA2A_HEBP1	simple:P08913	simple:Q9NRV9	ADRA2A	HEBP1	False	False	False	user_curated	False	1.755																																																	
CPI-SS0B6AD844B	LCK_CD8B	simple:P06239	simple:P10966	LCK	CD8B	False	False	False	user_curated	False	1.755																																																	
CPI-SS0C3A216C7	HLA-C_KIR2DL1	simple:P10321	simple:P43626	HLA-C	KIR2DL1	False	False	False	user_curated	False	1.755																																																	
CPI-SS0D13E506D	ADRA2A_NPW	simple:P08913	simple:Q8N729	ADRA2A	NPW	False	False	False	user_curated	False	1.755																																																	
CPI-SS0E9751BD3	HLA-B_KIR2DL1	simple:P01889	simple:P43626	HLA-B	KIR2DL1	False	False	False	user_curated	False	1.755																																																	
CPI-SS0FAD02171	HLA-C_NOTCH4	simple:P10321	simple:Q99466	HLA-C	NOTCH4	False	False	False	user_curated	False	1.755																																																	
CPI-SS09B2D63C8	OPRL1_PNOC	simple:P41146	simple:Q13519	OPRL1	PNOC	False	False	False	user_curated	False	1.755																																																	
CPI-SS0F259BA32	ADRA2A_PNOC	simple:P08913	simple:Q13519	ADRA2A	PNOC	False	False	False	user_curated	False	1.755																																																	
CPI-SS07F015051	CCR6_CCL20	simple:P51684	simple:P78556	CCR6	CCL20	False	False	False	user_curated	False	1.755																																																	
CPI-SS0E3102540	HLA-B_CD8B	simple:P01889	simple:P10966	HLA-B	CD8B	False	False	False	user_curated	False	1.755																																																	
CPI-SS0A3119AE8	IL7_IL7R	simple:P13232	simple:P16871	IL7	IL7R	False	False	False	user_curated	False	1.755																																																	
CPI-SS0FBCD159A	ITGB1_LGALS3BP	simple:P05556	simple:Q08380	ITGB1	LGALS3BP	False	False	False	user_curated	False	1.755																																																	
CPI-SS02FC59B86	CD33_LGALS3BP	simple:P20138	simple:Q08380	CD33	LGALS3BP	False	False	False	user_curated	False	1.755																																																	
CPI-SS02E7523C2	ITGAV_COL6A2	simple:P06756	simple:P12110	ITGAV	COL6A2	False	False	False	user_curated	False	1.755																																																	
CPI-SS0FFA37ABB	ITGB1_COL6A2	simple:P05556	simple:P12110	ITGB1	COL6A2	False	False	False	user_curated	False	1.755																																																	
CPI-SS06375B4E1	ITGAV_COL6A1	simple:P06756	simple:P12109	ITGAV	COL6A1	False	False	False	user_curated	False	1.755																																																	
CPI-SS0BAC44454	AXL_KIR3DL1	simple:P30530	simple:P43629	AXL	KIR3DL1	False	False	False	user_curated	False	1.755																																																	
CPI-SS09C7818B0	ITGB1_COL6A1	simple:P05556	simple:P12109	ITGB1	COL6A1	False	False	False	user_curated	False	1.755																																																	
CPI-SS07F60834D	MET_HGF	simple:P08581	simple:P14210	MET	HGF	False	False	False	user_curated	False	1.755																																																	
CPI-SS03B1A26FA	ITGB1_HGF	simple:P05556	simple:P14210	ITGB1	HGF	False	False	False	user_curated	False	1.755																																																	
CPI-SS0E2DC2F01	HLA-B_KIR3DL1	simple:P01889	simple:P43629	HLA-B	KIR3DL1	False	False	False	user_curated	False	1.755																																																	
CPI-SS05A720857	ITGB1_MATN1	simple:P05556	simple:P21941	ITGB1	MATN1	False	False	False	user_curated	False	1.755																																																	
CPI-SS038250842	ITGA3_CD151	simple:P26006	simple:P48509	ITGA3	CD151	False	False	False	user_curated	False	1.755																																																	
CPI-SS070C02196	HLA-A_KIR3DL1	simple:P04439	simple:P43629	HLA-A	KIR3DL1	False	False	False	user_curated	False	1.755																																																	
CPI-SS0659428ED	HLA-G_KIR3DL1	simple:P17693	simple:P43629	HLA-G	KIR3DL1	False	False	False	user_curated	False	1.755																																																	
CPI-SS081311EED	ITGB4_CD151	simple:P16144	simple:P48509	ITGB4	CD151	False	False	False	user_curated	False	1.755																																																	
CPI-SS077B78C28	ITGA6_CD151	simple:P23229	simple:P48509	ITGA6	CD151	False	False	False	user_curated	False	1.755																																																	
CPI-SS048242083	HLA-F_KIR3DL1	simple:P30511	simple:P43629	HLA-F	KIR3DL1	False	False	False	user_curated	False	1.755																																																	
CPI-SS0B5943E3C	LAMB1_CD151	simple:P07942	simple:P48509	LAMB1	CD151	False	False	False	user_curated	False	1.755																																																	
CPI-SS049BE95CE	LAMA5_CD151	simple:O15230	simple:P48509	LAMA5	CD151	False	False	False	user_curated	False	1.755																																																	
CPI-SS0A4143384	MET_CD151	simple:P08581	simple:P48509	MET	CD151	False	False	False	user_curated	False	1.755																																																	
CPI-SS0B9DD1DD9	ITGB1_CD151	simple:P05556	simple:P48509	ITGB1	CD151	False	False	False	user_curated	False	1.755																																																	
CPI-SS0D37C7C70	DLK1_NOTCH4	simple:P80370	simple:Q99466	DLK1	NOTCH4	False	False	False	user_curated	False	1.755																																																	
CPI-SS0F8C664D9	CXCR3_CCL20	simple:P49682	simple:P78556	CXCR3	CCL20	False	False	False	user_curated	False	1.755																																																	
CPI-SS0CEFE09D8	ADRA2A_CCL20	simple:P08913	simple:P78556	ADRA2A	CCL20	False	False	False	user_curated	False	1.755																																																	
CPI-SS00A43DE53	ADRA2A_NMU	simple:P08913	simple:P48645	ADRA2A	NMU	False	False	False	user_curated	False	1.755																																																	
CPI-SS0647D7ACA	SIGLEC6_PILRA	simple:O43699	simple:Q9UKJ1	SIGLEC6	PILRA	False	False	False	user_curated	False	1.755																																																	
CPI-SS062E8DFF9	CCRL2_CCL5	simple:O00421	simple:P13501	CCRL2	CCL5	False	False	False	user_curated	False	1.755																																																	
CPI-SS0FDD0955E	LILRB2_PILRA	simple:Q8N423	simple:Q9UKJ1	LILRB2	PILRA	False	False	False	user_curated	False	1.755																																																	
CPI-SS0093746AC	LILRA1_PILRA	simple:O75019	simple:Q9UKJ1	LILRA1	PILRA	False	False	False	user_curated	False	1.755																																																	
CPI-SS04DEA1250	ADRA2A_CCL5	simple:P08913	simple:P13501	ADRA2A	CCL5	False	False	False	user_curated	False	1.755																																																	
CPI-SS02B0475ED	GP6_PILRA	simple:Q9HCN6	simple:Q9UKJ1	GP6	PILRA	False	False	False	user_curated	False	1.755																																																	
CPI-SS0CB6E657F	BTN3A2_PILRA	simple:P78410	simple:Q9UKJ1	BTN3A2	PILRA	False	False	False	user_curated	False	1.755																																																	
CPI-SS07DC3F89F	PTPN13_CADM1	simple:Q12923	simple:Q9BY67	PTPN13	CADM1	False	False	False	user_curated	False	1.755																																																	
CPI-SS0C9696AAA	CRTAM_CADM1	simple:O95727	simple:Q9BY67	CRTAM	CADM1	False	False	False	user_curated	False	1.755																																																	
CPI-SS0629F8C0B	AXL_PILRB	simple:P30530	simple:Q9UKJ0	AXL	PILRB	False	False	False	user_curated	False	1.755																																																	
CPI-SS08760A26C	ADAM10_CADM1	simple:O14672	simple:Q9BY67	ADAM10	CADM1	False	False	False	user_curated	False	1.755																																																	
CPI-SS03A4F7DC8	AXL_GAS6	simple:P30530	simple:Q14393	AXL	GAS6	False	False	False	user_curated	False	1.755																																																	
CPI-SS064048522	CD300E_LILRA6	simple:Q496F6	simple:Q6PI73	CD300E	LILRA6	False	False	False	user_curated	False	1.755																																																	
CPI-SS0DBE8749A	CEACAM21_LILRA6	simple:Q3KPI0	simple:Q6PI73	CEACAM21	LILRA6	False	False	False	user_curated	False	1.755																																																	
CPI-SS085195142	TYRO3_GAS6	simple:Q06418	simple:Q14393	TYRO3	GAS6	False	False	False	user_curated	False	1.755																																																	
CPI-SS093447AB3	MPZ_LILRA6	simple:P25189	simple:Q6PI73	MPZ	LILRA6	False	False	False	user_curated	False	1.755																																																	
CPI-SS093581076	IL2RB_IL15RA	simple:P14784	simple:Q13261	IL2RB	IL15RA	False	False	False	user_curated	False	1.755																																																	
CPI-SS0415CC75D	MERTK_GAS6	simple:Q12866	simple:Q14393	MERTK	GAS6	False	False	False	user_curated	False	1.755																																																	
CPI-SS0962EEF38	AXL_VSIG10L	simple:P30530	simple:Q86VR7	AXL	VSIG10L	False	False	False	user_curated	False	1.755																																																	
CPI-SS07D7CD643	AXL_PILRA	simple:P30530	simple:Q9UKJ1	AXL	PILRA	False	False	False	user_curated	False	1.755																																																	
CPI-SS0DC3F1D36	HLA-C_KIR3DL1	simple:P10321	simple:P43629	HLA-C	KIR3DL1	False	False	False	user_curated	False	1.755																																																	
CPI-SS0B386AD2D	ADRA2A_CCL23	simple:P08913	simple:P55773	ADRA2A	CCL23	False	False	False	user_curated	False	1.755																																																	
CPI-SS09199F78C	CCR1_CCL23	simple:P32246	simple:P55773	CCR1	CCL23	False	False	False	user_curated	False	1.755																																																	
CPI-SS024CF9FC8	ADRA2A_CXCL3	simple:P08913	simple:P19876	ADRA2A	CXCL3	False	False	False	user_curated	False	1.755																																																	
CPI-SS0FB5FE587	DLL1_NOTCH4	simple:O00548	simple:Q99466	DLL1	NOTCH4	False	False	False	user_curated	False	1.755																																																	
CPI-SS057A07DC7	ADRA2A_CXCL2	simple:P08913	simple:P19875	ADRA2A	CXCL2	False	False	False	user_curated	False	1.755																																																	
CPI-SS00CB8F3DE	ADRA2A_CXCL1	simple:P08913	simple:P09341	ADRA2A	CXCL1	False	False	False	user_curated	False	1.755																																																	
CPI-SS08998A6B8	PSEN1_NOTCH4	simple:P49768	simple:Q99466	PSEN1	NOTCH4	False	False	False	user_curated	False	1.755																																																	
CPI-SS0837E9F59	JAG1_NOTCH4	simple:P78504	simple:Q99466	JAG1	NOTCH4	False	False	False	user_curated	False	1.755																																																	
CPI-SS05C0E5B47	SDC3_CXCL8	simple:O75056	simple:P10145	SDC3	CXCL8	False	False	False	user_curated	False	1.755																																																	
CPI-SS0FEC087E8	ADRA2A_CXCL8	simple:P08913	simple:P10145	ADRA2A	CXCL8	False	False	False	user_curated	False	1.755																																																	
CPI-SS0C892B9D6	SIGLEC6_IL23A	simple:O43699	simple:Q9NPF7	SIGLEC6	IL23A	False	False	False	user_curated	False	1.755																																																	
CPI-SS0F9AAE9EF	MAML2_NOTCH4	simple:Q8IZL2	simple:Q99466	MAML2	NOTCH4	False	False	False	user_curated	False	1.755																																																	
CPI-SS00F282936	CXCR6_CXCL16	simple:O00574	simple:Q9H2A7	CXCR6	CXCL16	False	False	False	user_curated	False	1.755																																																	
CPI-SS08DDBC107	HLA-C_FAM3C	simple:P10321	simple:Q92520	HLA-C	FAM3C	False	False	False	user_curated	False	1.755																																																	
CPI-SS0E2431C09	PDCD1_FAM3C	simple:Q15116	simple:Q92520	PDCD1	FAM3C	False	False	False	user_curated	False	1.755																																																	
CPI-SS01158CABF	FFAR2_FAM3C	simple:O15552	simple:Q92520	FFAR2	FAM3C	False	False	False	user_curated	False	1.755																																																	
CPI-SS0AFC7BACF	ADGRG5_FAM3C	simple:Q8IZF4	simple:Q92520	ADGRG5	FAM3C	False	False	False	user_curated	False	1.755																																																	
CPI-SS0C58C26C6	ADRA2A_CXCL16	simple:P08913	simple:Q9H2A7	ADRA2A	CXCL16	False	False	False	user_curated	False	1.755																																																	
CPI-SS064C772FE	CCR10_CCL28	simple:P46092	simple:Q9NRJ3	CCR10	CCL28	False	False	False	user_curated	False	1.755																																																	
CPI-SS0A7DD8A5E	CCR1_CCL28	simple:P32246	simple:Q9NRJ3	CCR1	CCL28	False	False	False	user_curated	False	1.755																																																	
CPI-SS0E50063CE	ADRA2A_CCL28	simple:P08913	simple:Q9NRJ3	ADRA2A	CCL28	False	False	False	user_curated	False	1.755																																																	
CPI-SS0F3DB0252	FPR2_CCL23	simple:P25090	simple:P55773	FPR2	CCL23	False	False	False	user_curated	False	1.755																																																	
CPI-SS07EC55C69	MICA_ICAM5	simple:Q29983	simple:Q9UMF0	MICA	ICAM5	False	False	False	user_curated	False	1.755																																																	
CPI-SS00F650C9B	ITGB1_LAMB1	simple:P05556	simple:P07942	ITGB1	LAMB1	False	False	False	user_curated	False	1.755																																																	
CPI-SS0C980DB1D	ITGAL_ICAM5	simple:P20701	simple:Q9UMF0	ITGAL	ICAM5	False	False	False	user_curated	False	1.755																																																	
CPI-SS0EA3BD30F	ABCA1_FADD	simple:O95477	simple:Q13158	ABCA1	FADD	False	False	False	user_curated	False	1.755																																																	
CPI-SS06DAFC20B	KREMEN1_DKK3	simple:Q96MU8	simple:Q9UBP4	KREMEN1	DKK3	False	False	False	user_curated	False	1.755																																																	
CPI-SS02B7540B0	SELP_SELPLG	simple:P16109	simple:Q14242	SELP	SELPLG	False	False	False	user_curated	False	1.755																																																	
CPI-SS054205B1E	ITGA7_DUSP18	simple:Q13683	simple:Q8NEJ0	ITGA7	DUSP18	False	False	False	user_curated	False	1.755																																																	
CPI-SS09D3BE100	ITGB1_SPON2	simple:P05556	simple:Q9BUD6	ITGB1	SPON2	False	False	False	user_curated	False	1.755																																																	
CPI-SS07DCF8E87	ITGA5_SPON2	simple:P08648	simple:Q9BUD6	ITGA5	SPON2	False	False	False	user_curated	False	1.755																																																	
CPI-SS0D6A47C33	CD151_DUSP18	simple:P48509	simple:Q8NEJ0	CD151	DUSP18	False	False	False	user_curated	False	1.755																																																	
CPI-SS0CEFA7614	ITGA1_DUSP18	simple:P56199	simple:Q8NEJ0	ITGA1	DUSP18	False	False	False	user_curated	False	1.755																																																	
CPI-SS00C178196	ITGB8_DUSP18	simple:P26012	simple:Q8NEJ0	ITGB8	DUSP18	False	False	False	user_curated	False	1.755																																																	
CPI-SS0CDEAC6D3	ITGA3_DUSP18	simple:P26006	simple:Q8NEJ0	ITGA3	DUSP18	False	False	False	user_curated	False	1.755																																																	
CPI-SS0DBA8ECEB	ITGA2_DUSP18	simple:P17301	simple:Q8NEJ0	ITGA2	DUSP18	False	False	False	user_curated	False	1.755																																																	
CPI-SS03BD26E5B	ITGAM_SPON2	simple:P11215	simple:Q9BUD6	ITGAM	SPON2	False	False	False	user_curated	False	1.755																																																	
CPI-SS0BF3F3624	ITGB4_DUSP18	simple:P16144	simple:Q8NEJ0	ITGB4	DUSP18	False	False	False	user_curated	False	1.755																																																	
CPI-SS03D867017	ITGA6_DUSP18	simple:P23229	simple:Q8NEJ0	ITGA6	DUSP18	False	False	False	user_curated	False	1.755																																																	
CPI-SS02EE025AA	ITGB1_DUSP18	simple:P05556	simple:Q8NEJ0	ITGB1	DUSP18	False	False	False	user_curated	False	1.755																																																	
CPI-SS03756B37A	TIE1_ANGPT1	simple:P35590	simple:Q15389	TIE1	ANGPT1	False	False	False	user_curated	False	1.755																																																	
CPI-SS00B2D9794	ITGA5_ANGPT1	simple:P08648	simple:Q15389	ITGA5	ANGPT1	False	False	False	user_curated	False	1.755																																																	
CPI-SS0A1C9AF56	ITGB1_ANGPT1	simple:P05556	simple:Q15389	ITGB1	ANGPT1	False	False	False	user_curated	False	1.755																																																	
CPI-SS04A590BF7	SDC1_COL9A2	simple:P18827	simple:Q14055	SDC1	COL9A2	False	False	False	user_curated	False	1.755																																																	
CPI-SS04DCFAAB4	FAS_FADD	simple:P25445	simple:Q13158	FAS	FADD	False	False	False	user_curated	False	1.755																																																	
CPI-SS0649D9615	CD44_COL9A2	simple:P16070	simple:Q14055	CD44	COL9A2	False	False	False	user_curated	False	1.755																																																	
CPI-SS0721C6B0E	TRAF2_FADD	simple:Q12933	simple:Q13158	TRAF2	FADD	False	False	False	user_curated	False	1.755																																																	
CPI-SS0AF96E563	ABCA1_LIN7C	simple:O95477	simple:Q9NUP9	ABCA1	LIN7C	False	False	False	user_curated	False	1.755																																																	
CPI-SS04F1E8E4B	THBS3_CD47	simple:P49746	simple:Q08722	THBS3	CD47	False	False	False	user_curated	False	1.755																																																	
CPI-SS0227C125B	SCN1B_CD47	simple:Q07699	simple:Q08722	SCN1B	CD47	False	False	False	user_curated	False	1.755																																																	
CPI-SS0E869FC34	MET_TIMP3	simple:P08581	simple:P35625	MET	TIMP3	False	False	False	user_curated	False	1.755																																																	
CPI-SS087E0E7E3	MYL9_CD69	simple:P24844	simple:Q07108	MYL9	CD69	False	False	False	user_curated	False	1.755																																																	
CPI-SS0C18D30AF	RECK_MMP9	simple:O95980	simple:P14780	RECK	MMP9	False	False	False	user_curated	False	1.755																																																	
CPI-SS0BCA6DD96	ITGB2_MMP9	simple:P05107	simple:P14780	ITGB2	MMP9	False	False	False	user_curated	False	1.755																																																	
CPI-SS0158F80AC	ITGAM_MMP9	simple:P11215	simple:P14780	ITGAM	MMP9	False	False	False	user_curated	False	1.755																																																	
CPI-SS0536A6772	CD96_NAALADL1	simple:P40200	simple:Q9UQQ1	CD96	NAALADL1	False	False	False	user_curated	False	1.755																																																	
CPI-SS0012FF5D7	ITGB2_CD40LG	simple:P05107	simple:P29965	ITGB2	CD40LG	False	False	False	user_curated	False	1.755																																																	
CPI-SS08B1FECB9	ITGAM_CD40LG	simple:P11215	simple:P29965	ITGAM	CD40LG	False	False	False	user_curated	False	1.755																																																	
CPI-SS031BD127E	CD9_CD40LG	simple:P21926	simple:P29965	CD9	CD40LG	False	False	False	user_curated	False	1.755																																																	
CPI-SS083296041	CD40_CD40LG	simple:P25942	simple:P29965	CD40	CD40LG	False	False	False	user_curated	False	1.755																																																	
CPI-SS04E83F8E5	CD53_CD40LG	simple:P19397	simple:P29965	CD53	CD40LG	False	False	False	user_curated	False	1.755																																																	
CPI-SS0D0252D87	AXL_IL15RA	simple:P30530	simple:Q13261	AXL	IL15RA	False	False	False	user_curated	False	1.755																																																	
CPI-SS0B24309C7	SDC1_MDK	simple:P18827	simple:P21741	SDC1	MDK	False	False	False	user_curated	False	1.755																																																	
CPI-SS071E11D75	SDC3_MDK	simple:O75056	simple:P21741	SDC3	MDK	False	False	False	user_curated	False	1.755																																																	
CPI-SS0F2A2CC0A	ITGAM_SELPLG	simple:P11215	simple:Q14242	ITGAM	SELPLG	False	False	False	user_curated	False	1.755																																																	
CPI-SS00CF52558	ABCA1_PLTP	simple:O95477	simple:P55058	ABCA1	PLTP	False	False	False	user_curated	False	1.755																																																	
CPI-SS07994434F	SIGLEC5_SELPLG	simple:O15389	simple:Q14242	SIGLEC5	SELPLG	False	False	False	user_curated	False	1.755																																																	
CPI-SS0B553DE0F	VCAN_SELPLG	simple:P13611	simple:Q14242	VCAN	SELPLG	False	False	False	user_curated	False	1.755																																																	
CPI-SS0CC0F4E84	COL4A4_CD47	simple:P53420	simple:Q08722	COL4A4	CD47	False	False	False	user_curated	False	1.755																																																	
CPI-SS00387BF59	SDC4_COL9A2	simple:P31431	simple:Q14055	SDC4	COL9A2	False	False	False	user_curated	False	1.755																																																	
CPI-SS0A3B28F5D	SDC1_COL9A3	simple:P18827	simple:Q14050	SDC1	COL9A3	False	False	False	user_curated	False	1.755																																																	
