gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	DC	Gran	HSPC	Mono	NK	T
KIT	P10721	False	KIT_HUMAN		CPI-SS06CA2C173	0.0	0.0	0.0	0.077	0.0	0.001	0.011
JAK2	O60674	False	JAK2_HUMAN		CPI-SS0D3CC3071	0.026	0.137	0.113	0.076	0.074	0.021	0.017
SOCS2	O14508	False	SOCS2_HUMAN		CPI-SS069565047	0.01	0.006	0.0	0.005	0.0	0.022	0.023
LYN	P07948	False	LYN_HUMAN		CPI-SS0B838F261	0.654	0.685	0.519	0.378	0.794	0.447	0.061
ERBB2	P04626	False	ERBB2_HUMAN		CPI-SS0DD2FA1A1	0.021	0.0	0.0	0.004	0.002	0.009	0.004
TLR4	O00206	False	TLR4_HUMAN		CPI-SS09A34F08B	0.0	0.039	0.104	0.008	0.281	0.002	0.0
TLR2	O60603	False	TLR2_HUMAN		CPI-SS02ECC13B8	0.009	0.067	0.176	0.055	0.171	0.007	0.002
ASGR1	P07306	False	ASGR1_HUMAN		CPI-SS0F47879C1	0.0	0.007	0.042	0.017	0.084	0.0	0.002
ERBB2	P04626	False	ERBB2_HUMAN		CPI-SS060706428	0.021	0.0	0.0	0.004	0.002	0.009	0.004
ERBB2	P04626	False	ERBB2_HUMAN		CPI-SS0E2E752A2	0.021	0.0	0.0	0.004	0.002	0.009	0.004
ERBB2	P04626	False	ERBB2_HUMAN		CPI-SS0639E775C	0.021	0.0	0.0	0.004	0.002	0.009	0.004
ERBB2	P04626	False	ERBB2_HUMAN		CPI-SS0C80FA89F	0.021	0.0	0.0	0.004	0.002	0.009	0.004
EPOR	P19235	False	EPOR_HUMAN		CPI-SS02B9931E3	0.004	0.0	0.0	0.007	0.004	0.014	0.021
CBL	P22681	False	CBL_HUMAN		CPI-SS07172208F	0.095	0.12	0.05	0.082	0.086	0.09	0.064
ERBB2	P04626	False	ERBB2_HUMAN		CPI-SS082A5162B	0.021	0.0	0.0	0.004	0.002	0.009	0.004
ERBB2	P04626	False	ERBB2_HUMAN		CPI-SS06497DA7F	0.021	0.0	0.0	0.004	0.002	0.009	0.004
ERBB2	P04626	False	ERBB2_HUMAN		CPI-SS001EE6479	0.021	0.0	0.0	0.004	0.002	0.009	0.004
ERBB2	P04626	False	ERBB2_HUMAN		CPI-SS0AEE062A7	0.021	0.0	0.0	0.004	0.002	0.009	0.004
ERBB2	P04626	False	ERBB2_HUMAN		CPI-SS008D74137	0.021	0.0	0.0	0.004	0.002	0.009	0.004
DNAJA3	Q96EY1	False	DNAJA3_HUMAN		CPI-SS09E666A60	0.015	0.0	0.0	0.017	0.001	0.008	0.008
WNT10B	O00744	False	WNT10B_HUMAN		CPI-SS02107DDE1	0.0	0.0	0.0	0.001	0.003	0.003	0.01
WNT10B	O00744	False	WNT10B_HUMAN		CPI-SS04F4213BF	0.0	0.0	0.0	0.001	0.003	0.003	0.01
WNT10B	O00744	False	WNT10B_HUMAN		CPI-SS0F138E745	0.0	0.0	0.0	0.001	0.003	0.003	0.01
BMP2	P12643	False	BMP2_HUMAN		CPI-SS016B7C7D6	0.0	0.008	0.0	0.002	0.024	0.0	0.0
PTCH1	Q13635	False	PTCH1_HUMAN		CPI-SS0394D0557	0.0	0.0	0.0	0.004	0.0	0.049	0.013
ROR2	Q01974	False	ROR2_HUMAN		CPI-SS0C5B94D35	0.116	0.0	0.0	0.0	0.0	0.0	0.009
AFDN	P55196	False	AFDN_HUMAN		CPI-SS093F7B975	0.126	0.04	0.0	0.004	0.013	0.06	0.082
FGFRL1	Q8N441	False	FGFRL1_HUMAN		CPI-SS033164D00	0.146	0.051	0.062	0.069	0.178	0.02	0.028
NLGN3	Q9NZ94	False	NLGN3_HUMAN		CPI-SS0541AB1E5	0.005	0.0	0.0	0.007	0.002	0.004	0.004
AFDN	P55196	False	AFDN_HUMAN		CPI-SS0699DC3EB	0.126	0.04	0.0	0.004	0.013	0.06	0.082
ASIP	P42127	False	ASIP_HUMAN		CPI-SS04FD4190E	0.0	0.017	0.0	0.0	0.0	0.0	0.0
JAM2	P57087	False	JAM2_HUMAN		CPI-SS0DB522229	0.0	0.0	0.0	0.001	0.002	0.0	0.001
PARD3	Q8TEW0	False	PARD3_HUMAN		CPI-SS0A056C469	0.0	0.0	0.0	0.0	0.0	0.003	0.0
ROBO3	Q96MS0	False	ROBO3_HUMAN		CPI-SS02C13D82E	0.0	0.016	0.0	0.049	0.0	0.015	0.004
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0889A54F8	0.103	0.006	0.0	0.002	0.0	0.005	0.046
ULBP3	Q9BZM4	False	ULBP3_HUMAN		CPI-SS08169A08C	0.0	0.007	0.0	0.001	0.009	0.003	0.001
AFDN	P55196	False	AFDN_HUMAN		CPI-SS0F4A131BE	0.126	0.04	0.0	0.004	0.013	0.06	0.082
CD96	P40200	False	CD96_HUMAN		CPI-SS03F821467	0.009	0.006	0.0	0.006	0.003	0.251	0.28
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0B66FC53A	0.104	0.038	0.106	0.077	0.082	0.065	0.041
FCGR2A	P12318	False	FCGR2A_HUMAN		CPI-SS0351BB0DE	0.009	0.068	0.024	0.007	0.319	0.024	0.0
LILRA5	A6NI73	False	LILRA5_HUMAN		CPI-SS04534EA22	0.004	0.014	0.025	0.001	0.317	0.004	0.001
SIGLEC6	O43699	False	SIGLEC6_HUMAN		CPI-SS0A1FEC986	0.014	0.0	0.0	0.002	0.002	0.0	0.0
LILRB3	O75022	False	LILRB3_HUMAN		CPI-SS05BC2501C	0.003	0.058	0.112	0.01	0.238	0.015	0.006
MPZL1	O95297	False	MPZL1_HUMAN		CPI-SS0EE167973	0.017	0.084	0.027	0.058	0.032	0.032	0.012
IL6R	P08887	False	IL6R_HUMAN		CPI-SS00C97F734	0.002	0.071	0.052	0.051	0.098	0.003	0.004
FCGR2A	P12318	False	FCGR2A_HUMAN		CPI-SS03AA209F5	0.009	0.068	0.024	0.007	0.319	0.024	0.0
FCGR1A	P12314	False	FCGR1A_HUMAN		CPI-SS0597A8814	0.0	0.021	0.02	0.01	0.084	0.001	0.002
CD5	P06127	False	CD5_HUMAN		CPI-SS0AC05A4A4	0.004	0.021	0.0	0.004	0.005	0.005	0.302
FCGR2A	P12318	False	FCGR2A_HUMAN		CPI-SS054A5A57A	0.009	0.068	0.024	0.007	0.319	0.024	0.0
EPOR	P19235	False	EPOR_HUMAN		CPI-SS0D32A6CC3	0.004	0.0	0.0	0.007	0.004	0.014	0.021
LAT	O43561	False	LAT_HUMAN		CPI-SS0A48643FF	0.022	0.016	0.054	0.007	0.016	0.161	0.159
FCGR2A	P12318	False	FCGR2A_HUMAN		CPI-SS00FA725A0	0.009	0.068	0.024	0.007	0.319	0.024	0.0
CEACAM1	P13688	False	CEACAM1_HUMAN		CPI-SS0877F9921	0.0	0.0	0.0	0.003	0.002	0.003	0.005
CD48	P09326	False	CD48_HUMAN		CPI-SS0DAC649EC	0.842	0.131	0.071	0.02	0.507	0.505	0.824
FCGR2A	P12318	False	FCGR2A_HUMAN		CPI-SS06A1059BE	0.009	0.068	0.024	0.007	0.319	0.024	0.0
SIRPA	P78324	False	SIRPA_HUMAN		CPI-SS0339AE950	0.004	0.087	0.168	0.032	0.228	0.005	0.003
HLA-C	P10321	False	HLA-C_HUMAN		CPI-SS02F186542	1.248	1.084	1.037	0.87	1.17	1.533	1.381
THBS1	P07996	False	THBS1_HUMAN		CPI-SS004035077	0.0	0.004	0.066	0.002	0.12	0.041	0.029
COL4A5	P29400	False	COL4A5_HUMAN		CPI-SS01B8068AD	0.0	0.0	0.0	0.051	0.0	0.0	0.0
COL4A4	P53420	False	COL4A4_HUMAN		CPI-SS0CC0F4E84	0.0	0.0	0.0	0.001	0.0	0.003	0.002
COL4A3	Q01955	False	COL4A3_HUMAN		CPI-SS01C13A403	0.017	0.0	0.0	0.0	0.0	0.0	0.0
LGALS9	O00182	False	LGALS9_HUMAN		CPI-SS014958F32	0.099	0.233	0.19	0.256	0.289	0.069	0.026
THBS3	P49746	False	THBS3_HUMAN		CPI-SS04F1E8E4B	0.0	0.014	0.028	0.028	0.019	0.001	0.004
SCN1B	Q07699	False	SCN1B_HUMAN		CPI-SS0227C125B	0.005	0.014	0.0	0.017	0.008	0.012	0.019
SIRPA	P78324	False	SIRPA_HUMAN		CPI-SS04F0C53CB	0.004	0.087	0.168	0.032	0.228	0.005	0.003
S100A8	P05109	False	S100A8_HUMAN		CPI-SS0CB559698	0.0	0.268	1.063	0.003	1.364	0.057	0.001
LGALS1	P09382	False	LGALS1_HUMAN		CPI-SS0538293BB	0.676	0.85	0.913	0.117	1.158	0.645	0.403
MYL9	P24844	False	MYL9_HUMAN		CPI-SS087E0E7E3	0.0	0.0	0.0	0.002	0.002	0.004	0.001
RECK	O95980	False	RECK_HUMAN		CPI-SS0C18D30AF	0.013	0.05	0.025	0.051	0.025	0.053	0.044
ITGB2	P05107	False	ITGB2_HUMAN		CPI-SS0BCA6DD96	0.142	0.44	0.892	0.216	1.02	1.045	0.359
ITGAM	P11215	False	ITGAM_HUMAN		CPI-SS0158F80AC	0.012	0.079	0.172	0.006	0.379	0.256	0.025
CD96	P40200	False	CD96_HUMAN		CPI-SS0536A6772	0.009	0.006	0.0	0.006	0.003	0.251	0.28
ITGB2	P05107	False	ITGB2_HUMAN		CPI-SS0012FF5D7	0.142	0.44	0.892	0.216	1.02	1.045	0.359
ITGAM	P11215	False	ITGAM_HUMAN		CPI-SS08B1FECB9	0.012	0.079	0.172	0.006	0.379	0.256	0.025
CD9	P21926	False	CD9_HUMAN		CPI-SS031BD127E	0.0	0.026	0.1	0.011	0.185	0.003	0.001
CD40	P25942	False	CD40_HUMAN		CPI-SS083296041	0.213	0.006	0.0	0.002	0.002	0.007	0.002
CD53	P19397	False	CD53_HUMAN		CPI-SS04E83F8E5	0.104	0.258	0.326	0.149	0.383	0.175	0.12
ITGB2	P05107	False	ITGB2_HUMAN		CPI-SS0ACD6DB3B	0.142	0.44	0.892	0.216	1.02	1.045	0.359
ITGB1	P05556	False	ITGB1_HUMAN		CPI-SS0B43CF7D7	0.088	0.269	0.525	0.27	0.664	0.245	0.261
ITGA4	P13612	False	ITGA4_HUMAN		CPI-SS0A11F7B60	0.057	0.245	0.176	0.275	0.279	0.222	0.22
SDC3	O75056	False	SDC3_HUMAN		CPI-SS071E11D75	0.1	0.006	0.016	0.0	0.011	0.0	0.0
NCL	P19338	False	NCL_HUMAN		CPI-SS03EA1937C	0.969	0.921	0.712	0.831	0.621	1.013	0.834
ITGB2	P05107	False	ITGB2_HUMAN		CPI-SS0532E1B1B	0.142	0.44	0.892	0.216	1.02	1.045	0.359
ITGAM	P11215	False	ITGAM_HUMAN		CPI-SS0F2A2CC0A	0.012	0.079	0.172	0.006	0.379	0.256	0.025
SIGLEC5	O15389	False	SIGLEC5_HUMAN		CPI-SS07994434F	0.006	0.0	0.0	0.0	0.024	0.0	0.0
VCAN	P13611	False	VCAN_HUMAN		CPI-SS0B553DE0F	0.0	0.271	0.731	0.016	1.119	0.005	0.002
SELL	P14151	False	SELL_HUMAN		CPI-SS087321EB5	0.008	0.234	0.06	0.265	0.093	0.029	0.065
SELP	P16109	False	SELP_HUMAN		CPI-SS02B7540B0	0.0	0.0	0.0	0.001	0.0	0.0	0.0
ITGB2	P05107	False	ITGB2_HUMAN		CPI-SS0FEFADBE0	0.142	0.44	0.892	0.216	1.02	1.045	0.359
ITGB1	P05556	False	ITGB1_HUMAN		CPI-SS0294C06D0	0.088	0.269	0.525	0.27	0.664	0.245	0.261
TLR4	O00206	False	TLR4_HUMAN		CPI-SS077F3546C	0.0	0.039	0.104	0.008	0.281	0.002	0.0
APOA1	P02647	False	APOA1_HUMAN		CPI-SS09AEB9397	0.0	0.043	0.06	0.043	0.004	0.025	0.013
TLR2	O60603	False	TLR2_HUMAN		CPI-SS082B13B46	0.009	0.067	0.176	0.055	0.171	0.007	0.002
ITGB2	P05107	False	ITGB2_HUMAN		CPI-SS05232CAF9	0.142	0.44	0.892	0.216	1.02	1.045	0.359
ITGB1	P05556	False	ITGB1_HUMAN		CPI-SS09D3BE100	0.088	0.269	0.525	0.27	0.664	0.245	0.261
ITGA5	P08648	False	ITGA5_HUMAN		CPI-SS07DCF8E87	0.009	0.316	0.633	0.196	0.527	0.128	0.119
ITGAM	P11215	False	ITGAM_HUMAN		CPI-SS03BD26E5B	0.012	0.079	0.172	0.006	0.379	0.256	0.025
ITGA4	P13612	False	ITGA4_HUMAN		CPI-SS00EC73CED	0.057	0.245	0.176	0.275	0.279	0.222	0.22
ITGB2	P05107	False	ITGB2_HUMAN		CPI-SS05D25F39E	0.142	0.44	0.892	0.216	1.02	1.045	0.359
ITGB1	P05556	False	ITGB1_HUMAN		CPI-SS0542D117A	0.088	0.269	0.525	0.27	0.664	0.245	0.261
ITGAM	P11215	False	ITGAM_HUMAN		CPI-SS03DE1223C	0.012	0.079	0.172	0.006	0.379	0.256	0.025
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	0.0	0.0	0.0	0.001	0.002	0.0	0.001
PARD3	Q8TEW0	False	PARD3_HUMAN		CPI-SS0551A73E8	0.0	0.0	0.0	0.0	0.0	0.003	0.0
ITGB2	P05107	False	ITGB2_HUMAN		CPI-SS07939D079	0.142	0.44	0.892	0.216	1.02	1.045	0.359
TLR4	O00206	False	TLR4_HUMAN		CPI-SS0EB5D4AA1	0.0	0.039	0.104	0.008	0.281	0.002	0.0
ITGB2	P05107	False	ITGB2_HUMAN		CPI-SS0EBE756E8	0.142	0.44	0.892	0.216	1.02	1.045	0.359
TLR4	O00206	False	TLR4_HUMAN		CPI-SS0A15A5445	0.0	0.039	0.104	0.008	0.281	0.002	0.0
ITGB2	P05107	False	ITGB2_HUMAN		CPI-SS0E18854A9	0.142	0.44	0.892	0.216	1.02	1.045	0.359
ITGB2	P05107	False	ITGB2_HUMAN		CPI-SS03540A7B0	0.142	0.44	0.892	0.216	1.02	1.045	0.359
ITGAM	P11215	False	ITGAM_HUMAN		CPI-SS008AB1136	0.012	0.079	0.172	0.006	0.379	0.256	0.025
ITGB2	P05107	False	ITGB2_HUMAN		CPI-SS06DE77FEF	0.142	0.44	0.892	0.216	1.02	1.045	0.359
ITGAL	P20701	False	ITGAL_HUMAN		CPI-SS0309446DA	0.046	0.093	0.058	0.048	0.188	0.41	0.177
ITGB2	P05107	False	ITGB2_HUMAN		CPI-SS0CEB36C52	0.142	0.44	0.892	0.216	1.02	1.045	0.359
ITGAL	P20701	False	ITGAL_HUMAN		CPI-SS0C980DB1D	0.046	0.093	0.058	0.048	0.188	0.41	0.177
MICA	Q29983	False	MICA_HUMAN		CPI-SS07EC55C69	0.005	0.009	0.058	0.006	0.006	0.026	0.009
ITGAL	P20701	False	ITGAL_HUMAN		CPI-SS02B184FA2	0.046	0.093	0.058	0.048	0.188	0.41	0.177
HLA-C	P10321	False	HLA-C_HUMAN		CPI-SS0FF2B313C	1.248	1.084	1.037	0.87	1.17	1.533	1.381
HLA-B	P01889	False	HLA-B_HUMAN		CPI-SS088D342A0	1.506	1.383	1.303	1.01	1.406	1.653	1.579
HLA-A	P04439	False	HLA-A_HUMAN		CPI-SS091151A75	1.332	1.193	1.237	1.125	1.291	1.542	1.45
HLA-C	P10321	False	HLA-C_HUMAN		CPI-SS0DC3F1D36	1.248	1.084	1.037	0.87	1.17	1.533	1.381
AXL	P30530	False	AXL_HUMAN		CPI-SS0BAC44454	0.0	0.0	0.027	0.0	0.0	0.0	0.001
HLA-B	P01889	False	HLA-B_HUMAN		CPI-SS0E2DC2F01	1.506	1.383	1.303	1.01	1.406	1.653	1.579
HLA-A	P04439	False	HLA-A_HUMAN		CPI-SS070C02196	1.332	1.193	1.237	1.125	1.291	1.542	1.45
HLA-G	P17693	False	HLA-G_HUMAN		CPI-SS0659428ED	0.004	0.02	0.0	0.008	0.018	0.027	0.024
HLA-F	P30511	False	HLA-F_HUMAN		CPI-SS048242083	0.251	0.09	0.094	0.034	0.187	0.549	0.338
HLA-E	P13747	False	HLA-E_HUMAN		CPI-SS082A7EC36	0.948	0.723	0.53	0.825	0.92	1.302	1.135
HLA-C	P10321	False	HLA-C_HUMAN		CPI-SS0485DB044	1.248	1.084	1.037	0.87	1.17	1.533	1.381
HLA-B	P01889	False	HLA-B_HUMAN		CPI-SS0E3102540	1.506	1.383	1.303	1.01	1.406	1.653	1.579
HLA-A	P04439	False	HLA-A_HUMAN		CPI-SS06CBA6036	1.332	1.193	1.237	1.125	1.291	1.542	1.45
LCK	P06239	False	LCK_HUMAN		CPI-SS0B6AD844B	0.0	0.0	0.0	0.003	0.0	0.109	0.103
HLA-C	P10321	False	HLA-C_HUMAN		CPI-SS0C3A216C7	1.248	1.084	1.037	0.87	1.17	1.533	1.381
HLA-B	P01889	False	HLA-B_HUMAN		CPI-SS0E9751BD3	1.506	1.383	1.303	1.01	1.406	1.653	1.579
HLA-A	P04439	False	HLA-A_HUMAN		CPI-SS050610655	1.332	1.193	1.237	1.125	1.291	1.542	1.45
HLA-C	P10321	False	HLA-C_HUMAN		CPI-SS0FAD02171	1.248	1.084	1.037	0.87	1.17	1.533	1.381
DLL1	O00548	False	DLL1_HUMAN		CPI-SS0FB5FE587	0.06	0.014	0.0	0.004	0.006	0.006	0.005
PSEN1	P49768	False	PSEN1_HUMAN		CPI-SS08998A6B8	0.111	0.143	0.102	0.103	0.185	0.056	0.072
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0837E9F59	0.009	0.174	0.129	0.08	0.191	0.072	0.007
MAML2	Q8IZL2	False	MAML2_HUMAN		CPI-SS0F9AAE9EF	0.01	0.015	0.084	0.023	0.054	0.021	0.051
HLA-C	P10321	False	HLA-C_HUMAN		CPI-SS08DDBC107	1.248	1.084	1.037	0.87	1.17	1.533	1.381
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0E2431C09	0.019	0.0	0.015	0.004	0.001	0.0	0.039
KIR2DL3	P43628	False	KIR2DL3_HUMAN		CPI-SS02CF96625	0.0	0.0	0.0	0.002	0.0	0.116	0.007
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS01158CABF	0.0	0.0	0.0	0.0	0.011	0.0	0.001
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	0.301	0.527	0.568	0.458	0.637	0.553	0.305
ADGRG5	Q8IZF4	False	ADGRG5_HUMAN		CPI-SS0AFC7BACF	0.0	0.059	0.0	0.004	0.0	0.023	0.005
HLA-C	P10321	False	HLA-C_HUMAN		CPI-SS0CD88C2A8	1.248	1.084	1.037	0.87	1.17	1.533	1.381
HLA-DRA	P01903	False	HLA-DRA_HUMAN		CPI-SS0D60AC3F3	1.551	1.377	0.573	0.387	0.993	0.029	0.08
HLA-DRB1	P01911	False	HLA-DRB1_HUMAN		CPI-SS0B5B0130D	1.463	1.152	0.41	0.281	0.776	0.116	0.205
CD37	P11049	False	CD37_HUMAN		CPI-SS0CBFFA92D	1.206	0.635	0.389	0.648	0.549	0.651	0.668
CD2	P06729	False	CD2_HUMAN		CPI-SS09000A318	0.0	0.007	0.0	0.003	0.002	0.055	0.262
MS4A1	P11836	False	MS4A1_HUMAN		CPI-SS0B8685246	0.645	0.018	0.0	0.003	0.002	0.007	0.017
AXL	P30530	False	AXL_HUMAN		CPI-SS07D7CD643	0.0	0.0	0.027	0.0	0.0	0.0	0.001
SIGLEC6	O43699	False	SIGLEC6_HUMAN		CPI-SS0647D7ACA	0.014	0.0	0.0	0.002	0.002	0.0	0.0
LILRB2	Q8N423	False	LILRB2_HUMAN		CPI-SS0FDD0955E	0.063	0.012	0.02	0.002	0.29	0.001	0.003
LILRA1	O75019	False	LILRA1_HUMAN		CPI-SS0093746AC	0.0	0.015	0.03	0.0	0.079	0.0	0.001
GP6	Q9HCN6	False	GP6_HUMAN		CPI-SS02B0475ED	0.0	0.0	0.0	0.0	0.002	0.003	0.005
BTN3A2	P78410	False	BTN3A2_HUMAN		CPI-SS0CB6E657F	0.008	0.0	0.019	0.042	0.015	0.092	0.062
FCGR1A	P12314	False	FCGR1A_HUMAN		CPI-SS0D418093A	0.0	0.021	0.02	0.01	0.084	0.001	0.002
CD99	P14209	False	CD99_HUMAN		CPI-SS01560CA22	0.304	0.915	0.936	1.005	0.932	0.922	0.762
AXL	P30530	False	AXL_HUMAN		CPI-SS0629F8C0B	0.0	0.0	0.027	0.0	0.0	0.0	0.001
CD99	P14209	False	CD99_HUMAN		CPI-SS04F2DB78D	0.304	0.915	0.936	1.005	0.932	0.922	0.762
AXL	P30530	False	AXL_HUMAN		CPI-SS03A4F7DC8	0.0	0.0	0.027	0.0	0.0	0.0	0.001
TYRO3	Q06418	False	TYRO3_HUMAN		CPI-SS085195142	0.0	0.009	0.0	0.007	0.006	0.002	0.003
MERTK	Q12866	False	MERTK_HUMAN		CPI-SS0415CC75D	0.0	0.037	0.0	0.02	0.019	0.001	0.002
AXL	P30530	False	AXL_HUMAN		CPI-SS0962EEF38	0.0	0.0	0.027	0.0	0.0	0.0	0.001
AXL	P30530	False	AXL_HUMAN		CPI-SS0D0252D87	0.0	0.0	0.027	0.0	0.0	0.0	0.001
IL15	P40933	False	IL15_HUMAN		CPI-SS077B160B9	0.01	0.0	0.0	0.003	0.021	0.016	0.01
IL2RB	P14784	False	IL2RB_HUMAN		CPI-SS093581076	0.007	0.006	0.0	0.003	0.007	0.406	0.142
MPZ	P25189	False	MPZ_HUMAN		CPI-SS093447AB3	0.006	0.0	0.052	0.013	0.007	0.01	0.001
CEACAM21	Q3KPI0	False	CEACAM21_HUMAN		CPI-SS0DBE8749A	0.0	0.007	0.0	0.002	0.0	0.004	0.007
CD300E	Q496F6	False	CD300E_HUMAN		CPI-SS064048522	0.013	0.027	0.007	0.004	0.552	0.005	0.007
ADAM10	O14672	False	ADAM10_HUMAN		CPI-SS08760A26C	0.075	0.157	0.229	0.208	0.293	0.257	0.097
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.0	0.0	0.0	0.006	0.023	0.007	0.048
PTPN13	Q12923	False	PTPN13_HUMAN		CPI-SS07DC3F89F	0.0	0.0	0.0	0.0	0.0	0.0	0.002
SDK2	Q58EX2	False	SDK2_HUMAN		CPI-SS0FE4FDCE9	0.004	0.01	0.0	0.049	0.0	0.0	0.002
ADRA2A	P08913	False	ADRA2A_HUMAN		CPI-SS04DEA1250	0.0	0.064	0.0	0.002	0.012	0.0	0.0
CCRL2	O00421	False	CCRL2_HUMAN		CPI-SS062E8DFF9	0.018	0.017	0.0	0.001	0.025	0.005	0.011
ADRA2A	P08913	False	ADRA2A_HUMAN		CPI-SS0B386AD2D	0.0	0.064	0.0	0.002	0.012	0.0	0.0
FPR2	P25090	False	FPR2_HUMAN		CPI-SS0F3DB0252	0.0	0.0	0.0	0.0	0.013	0.001	0.0
CCR1	P32246	False	CCR1_HUMAN		CPI-SS09199F78C	0.0	0.036	0.0	0.001	0.176	0.001	0.004
ADRA2A	P08913	False	ADRA2A_HUMAN		CPI-SS0E50063CE	0.0	0.064	0.0	0.002	0.012	0.0	0.0
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0A7DD8A5E	0.0	0.036	0.0	0.001	0.176	0.001	0.004
CCR10	P46092	False	CCR10_HUMAN		CPI-SS064C772FE	0.0	0.019	0.0	0.001	0.005	0.006	0.004
ADRA2A	P08913	False	ADRA2A_HUMAN		CPI-SS0C58C26C6	0.0	0.064	0.0	0.002	0.012	0.0	0.0
CXCR6	O00574	False	CXCR6_HUMAN		CPI-SS00F282936	0.0	0.0	0.0	0.002	0.0	0.0	0.022
ADRA2A	P08913	False	ADRA2A_HUMAN		CPI-SS0FEC087E8	0.0	0.064	0.0	0.002	0.012	0.0	0.0
SDC3	O75056	False	SDC3_HUMAN		CPI-SS05C0E5B47	0.1	0.006	0.016	0.0	0.011	0.0	0.0
ADRA2A	P08913	False	ADRA2A_HUMAN		CPI-SS00CB8F3DE	0.0	0.064	0.0	0.002	0.012	0.0	0.0
ADRA2A	P08913	False	ADRA2A_HUMAN		CPI-SS057A07DC7	0.0	0.064	0.0	0.002	0.012	0.0	0.0
ADRA2A	P08913	False	ADRA2A_HUMAN		CPI-SS024CF9FC8	0.0	0.064	0.0	0.002	0.012	0.0	0.0
ADRA2A	P08913	False	ADRA2A_HUMAN		CPI-SS00A43DE53	0.0	0.064	0.0	0.002	0.012	0.0	0.0
ADRA2A	P08913	False	ADRA2A_HUMAN		CPI-SS0CEFE09D8	0.0	0.064	0.0	0.002	0.012	0.0	0.0
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS0F8C664D9	0.096	0.021	0.0	0.006	0.013	0.097	0.28
CCR6	P51684	False	CCR6_HUMAN		CPI-SS07F015051	0.164	0.0	0.0	0.0	0.005	0.001	0.084
ADRA2A	P08913	False	ADRA2A_HUMAN		CPI-SS0F259BA32	0.0	0.064	0.0	0.002	0.012	0.0	0.0
OPRL1	P41146	False	OPRL1_HUMAN		CPI-SS09B2D63C8	0.0	0.0	0.0	0.002	0.004	0.004	0.0
ADRA2A	P08913	False	ADRA2A_HUMAN		CPI-SS0D13E506D	0.0	0.064	0.0	0.002	0.012	0.0	0.0
ADRA2A	P08913	False	ADRA2A_HUMAN		CPI-SS008F77E67	0.0	0.064	0.0	0.002	0.012	0.0	0.0
TNFRSF10C	O14798	False	TNFRSF10C_HUMAN		CPI-SS01ECFDA18	0.0	0.006	0.021	0.025	0.004	0.0	0.0
TNFRSF10B	O14763	False	TNFRSF10B_HUMAN		CPI-SS0898D7F7F	0.08	0.063	0.066	0.038	0.096	0.023	0.066
TNFRSF10A	O00220	False	TNFRSF10A_HUMAN		CPI-SS0179FBFD3	0.026	0.0	0.019	0.002	0.02	0.0	0.034
TNFRSF13B	O14836	False	TNFRSF13B_HUMAN		CPI-SS0DCA69916	0.069	0.009	0.0	0.0	0.002	0.001	0.0
BTN3A3	O00478	False	BTN3A3_HUMAN		CPI-SS0E16B4F70	0.01	0.008	0.0	0.011	0.009	0.025	0.019
TFRC	P02786	False	TFRC_HUMAN		CPI-SS077538309	0.164	0.217	0.41	0.318	0.454	0.065	0.116
COL1A1	P02452	False	COL1A1_HUMAN		CPI-SS029A42A0C	0.019	0.0	0.0	0.001	0.0	0.004	0.024
KIT	P10721	False	KIT_HUMAN		CPI-SS0110CE1DB	0.0	0.0	0.0	0.077	0.0	0.001	0.011
IL7	P13232	False	IL7_HUMAN		CPI-SS0A3119AE8	0.029	0.021	0.02	0.003	0.005	0.0	0.003
ITGB1	P05556	False	ITGB1_HUMAN		CPI-SS0FBCD159A	0.088	0.269	0.525	0.27	0.664	0.245	0.261
CD33	P20138	False	CD33_HUMAN		CPI-SS02FC59B86	0.0	0.086	0.081	0.073	0.172	0.006	0.002
ITGB1	P05556	False	ITGB1_HUMAN		CPI-SS0B9DD1DD9	0.088	0.269	0.525	0.27	0.664	0.245	0.261
MET	P08581	False	MET_HUMAN		CPI-SS0A4143384	0.0	0.0	0.0	0.002	0.019	0.002	0.001
LAMA5	O15230	False	LAMA5_HUMAN		CPI-SS049BE95CE	0.013	0.01	0.0	0.0	0.0	0.0	0.001
LAMB1	P07942	False	LAMB1_HUMAN		CPI-SS0B5943E3C	0.01	0.042	0.0	0.005	0.002	0.008	0.012
ITGA6	P23229	False	ITGA6_HUMAN		CPI-SS077B78C28	0.0	0.044	0.111	0.083	0.063	0.031	0.037
ITGB4	P16144	False	ITGB4_HUMAN		CPI-SS081311EED	0.0	0.0	0.024	0.002	0.004	0.001	0.001
ITGA3	P26006	False	ITGA3_HUMAN		CPI-SS038250842	0.0	0.0	0.037	0.004	0.006	0.0	0.007
